Url,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst-trainee/51911012?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Hull , North Humberside"
https://www.reed.co.uk/jobs/data-analyst-trainee/51919351?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Preston , Lancashire"
https://www.reed.co.uk/jobs/data-analyst-trainee/51958296?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"London , South East England"
https://www.reed.co.uk/jobs/data-analyst-trainee/51941224?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"London , South East England"
https://www.reed.co.uk/jobs/data-analyst-trainee/51951376?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Hounslow , Middlesex"
https://www.reed.co.uk/jobs/data-analyst-trainee/51927454?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Bradford , West Yorkshire"
https://www.reed.co.uk/jobs/data-analyst-trainee/51958363?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"London , South East England"
https://www.reed.co.uk/jobs/data-analyst-trainee/51958460?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"West Hoe , Devon"
https://www.reed.co.uk/jobs/data-analyst-trainee/51996391?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Norwich , Norfolk"
https://www.reed.co.uk/jobs/data-analyst-trainee/51996667?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Aberdeen , Aberdeenshire"
